from,to,weight,tickets,cost_per_ticket
Winnipeg,Calgary,0.99999956859757,1,0.99999956859757
Toronto,Duluth,0.99999956859757,1,0.99999956859757
New Orleans,Miami,0.99999956859757,1,0.99999956859757
Duluth,Helena,0.99999956859757,1,0.99999956859757
Sault Ste Marie,Montreal,0.9999935289635503,1,0.9999935289635503
Pittsburgh,Saint Louis,0.9999935289635503,1,0.9999935289635503
Omaha,Helena,0.9999935289635503,1,0.9999935289635503
Denver,Phoenix,0.9999935289635503,1,0.9999935289635503
Sault Ste Marie,Winnipeg,0.9999892266113941,1,0.9999892266113941
San Francisco,Salt Lake City,0.9999870579689748,1,0.9999870579689748
Denver,Helena,0.9999142587670411,1,0.9999142587670411
New Orleans,Atlanta,0.9998285248856412,1,0.9998285248856412
Oklahoma City,Santa Fe,0.9989806320081549,1,0.9989806320081549
New Orleans,Little Rock,0.9989806320081549,1,0.9989806320081549
Las Vegas,Salt Lake City,0.9989806320081549,1,0.9989806320081549
Helena,Salt Lake City,0.9989806320081549,1,0.9989806320081549
Calgary,Helena,0.9987277386745791,1,0.9987277386745791
Sault Ste Marie,Duluth,0.9872671670836809,1,0.9872671670836809
Phoenix,Los Angeles,0.9872671670836809,1,0.9872671670836809
New York City,Boston,0.9781028532951772,1,0.9781028532951772
Chicago,Saint Louis,0.9781028532951772,1,0.9781028532951772
Sault Ste Marie,Toronto,0.8807339449541285,1,0.8807339449541285
New Orleans,Houston,0.8807339449541285,1,0.8807339449541285
Los Angeles,Las Vegas,0.8807339449541285,1,0.8807339449541285
Little Rock,Saint Louis,0.8807339449541285,1,0.8807339449541285
Little Rock,Oklahoma City,0.8807339449541285,1,0.8807339449541285
El Paso,Santa Fe,0.8807339449541285,1,0.8807339449541285
Salt Lake City,Portland,0.99999956859757,2,0.499999784298785
Helena,Seattle,0.99999956859757,2,0.499999784298785
El Paso,Oklahoma City,0.9999935289635503,2,0.49999676448177516
Atlanta,Miami,0.9999935289635503,2,0.49999676448177516
San Francisco,Portland,0.9999870579689748,2,0.4999935289844874
Winnipeg,Duluth,0.9999142587670411,2,0.49995712938352055
Dallas,El Paso,0.9999142587670411,2,0.49995712938352055
Chicago,Omaha,0.9999142587670411,2,0.49995712938352055
Denver,Kansas City,0.9998285248856412,2,0.4999142624428206
Nashville,Little Rock,0.9989806320081549,2,0.49949031600407745
San Francisco,Los Angeles,0.9979623031274126,2,0.4989811515637063
Denver,Salt Lake City,0.9979623031274126,2,0.4989811515637063
Vancouver,Calgary,0.9872671670836809,2,0.49363358354184045
Toronto,Montreal,0.9872671670836809,2,0.49363358354184045
Pittsburgh,New York,0.9781028532951772,2,0.4890514266475886
Nashville,Saint Louis,0.8807339449541285,2,0.44036697247706424
Denver,Santa Fe,0.8807339449541285,2,0.44036697247706424
Dallas,Little Rock,0.8807339449541285,2,0.44036697247706424
El Paso,Los Angeles,0.99999956859757,3,0.33333318953252333
New York City,Washington,0.9781028532951772,3,0.3260342844317257
Kansas City,Saint Louis,0.9781028532951772,3,0.3260342844317257
Raleigh,Washington,0.7756922817944617,3,0.2585640939314872
Dallas,Oklahoma City,0.7756922817944617,3,0.2585640939314872
Atlanta,Raleigh,0.7756922817944617,3,0.2585640939314872
Nashville,Pittsburgh,0.9999142587670411,5,0.19998285175340821
Pittsburgh,Toronto,0.8807339449541285,5,0.1761467889908257
Omaha,Duluth,0.7756922817944617,5,0.15513845635889234
Kansas City,Oklahoma City,0.7756922817944617,8,0.09696153522430771
Omaha,Kansas City,0.0,8,0.0
Nashville,Atlanta,0.0,7,0.0
Portland,Seattle,0.0,4,0.0
Dallas,Houston,0.0,4,0.0
Vancouver,Seattle,0.0,2,0.0
